rank,mark,wind,competitor,dob,nat,pos,empty_col,venue,date,results_score
4473,10.56,+0.3,Giovanni CELLARIO,22 NOV 1994,ITA,2h4,,Bressanone (ITA),26 JUL 2019,1021
4473,10.56,+1.8,Dan-Neil TELESFORD,09 SEP 1990,TTO,3h6,,Port-of-Spain (TTO),26 JUL 2019,1021
4473,10.56,+0.8,Eryk HAMPEL,03 DEC 1997,POL,3f1,,Jelenia Góra (POL),01 AUG 2019,1021
4473,10.56,+0.2,Mochammad Bisma Diwa ABINA,21 JUN 1995,INA,1sf1,,Cibinong (INA),01 AUG 2019,1021
4473,10.56,-0.3,Yu LUO,17 SEP 1998,CHN,8h2,,Shenyang (CHN),02 AUG 2019,1022
4473,10.56,+0.2,Rico ADITH,2001,INA,1,,Cibinong (INA),02 AUG 2019,1021
4473,10.56,+1.0,Robert HERING,14 JUN 1990,GER,5h3,,Berlin (GER),03 AUG 2019,1021
4473,10.56,+0.3,Dylan RIGOT,10 OCT 1989,FRA,4,,Ninove (BEL),03 AUG 2019,1021
4473,10.56,+1.3,Jin Su JUNG,16 NOV 1993,AUS,2h2,,Ninove (BEL),03 AUG 2019,1021
4473,10.56,0.0,Dominic ASHWELL,13 JUN 1999,GBR,2f1,,Birmingham (GBR),03 AUG 2019,1021
4473,10.56,+1.1,Vinicius ROCHA MORAES,19 APR 1999,BRA,2f1,,Sao Bernardo do Campo (BRA),03 AUG 2019,1021
4473,10.56,+1.4,Shota NAKAMURA,01 JUN 2001,JPN,1h4,,Okinawa (JPN),05 AUG 2019,1021
4473,10.56,+0.5,Adam THOMAS,15 APR 1995,GBR,5f1,,Loughborough (GBR),06 AUG 2019,1021
4473,10.56,+0.5,Henrik LARSSON,30 SEP 1999,SWE,5h1,,Bydgoszcz (POL),09 AUG 2019,1021
4473,10.56,-1.9,Taymir BURNET,01 OCT 1992,NED,1sr2,,Sandnes (NOR),09 AUG 2019,1032
4473,10.56,0.0,Jean Tarcisius BATAMBOC,01 OCT 1987,CMR,2,,Yaoundé (CMR),10 AUG 2019,1021
4473,10.56,+0.5,Chintha SUDHAKAR,18 MAY 1997,IND,1,,Pune (IND),20 AUG 2019,1021
4473,10.56,+1.9,Ihor BODROV,09 JUL 1987,UKR,2,,Lutsk (UKR),21 AUG 2019,1021
4473,10.56,+0.8,Krzysztof GRZEŚKOWIAK,03 APR 1993,POL,6,,"Stadion im. Marszałka Józefa Piłsudskiego, Radom (POL)",23 AUG 2019,1021
4473,10.56,+0.2,Tazana Mikkel KAMANGA-DYRBAK,12 JAN 2002,DEN,3f3,,"Stade Charléty, Paris (FRA)",24 AUG 2019,1021
4473,10.56,+0.4,Ngoni MAKUSHA,26 JUN 1994,ZIM,3h2,,"Prince Moulay Abdellah, Rabat (MAR)",26 AUG 2019,1021
4473,10.56,-0.4,Mario LÓPEZ,05 JUN 1992,ESP,1sf1,,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",31 AUG 2019,1023
4473,10.56,0.0,Alex WILSON,19 SEP 1990,SUI,8f1,,Bellinzona (SUI),01 SEP 2019,1021
4473,10.56,+0.2,Odean SKEEN,28 AUG 1994,JAM,7f2,,Bellinzona (SUI),01 SEP 2019,1021
4473,10.56,-2.0,Kyu-hyong LEE,02 APR 1997,KOR,3h1,,"Prefectural Stadium, Fujiyoshida (JPN)",01 SEP 2019,1033
4473,10.56,0.0,Andrey LUKIN,28 FEB 1998,RUS,1,,Sochi (RUS),04 SEP 2019,1021
4473,10.56,+0.7,Štěpán HAMPL,10 NOV 1999,CZE,1,,"Atletický stadion Slavia Praha, Praha (CZE)",08 SEP 2019,1021
4473,10.56,-0.6,Jun YAMASHITA,23 AUG 1997,JPN,1h1,,"Nagaragawa Stadium, Gifu (JPN)",12 SEP 2019,1024
4473,10.56,+0.2,Naruhito KUWATA,1999,JPN,3h4,,"Nagaragawa Stadium, Gifu (JPN)",12 SEP 2019,1021
4473,10.56,+1.7,Edward OSEI-NKETIA,08 MAY 2001,NZL,1h2,,"LA-Stadion, Ried im Innkreis (AUT)",13 SEP 2019,1021
4473,10.56,-1.7,Kimihiko OKUBO,23 AUG 1997,JPN,1sf3,,"Nagaragawa Stadium, Gifu (JPN)",13 SEP 2019,1031
4473,10.56,-0.7,Takuya KAWAKAMI,08 JUN 1995,JPN,3,,"Nagai Stadium, Osaka (JPN)",21 SEP 2019,1025
4473,10.56,-0.3,Ratu Banuve TABAKAUCORO,04 SEP 1992,FIJ,8h1,,"Khalifa International Stadium, Doha (QAT)",27 SEP 2019,1022
4473,10.56,0.0,Ratu Banuve TABAKAUCORO,04 SEP 1992,FIJ,2pr4,,"Khalifa International Stadium, Doha (QAT)",27 SEP 2019,1021
4473,10.56,+0.4,Shodai HIRANO,28 MAR 2001,JPN,3h4,,"Prefectural Kasamatsu Stadium, Hitachinaka (JPN)",05 OCT 2019,1021
4473,10.56,+0.7,Mohd Haiqal HANAFI,29 APR 1999,MAS,sf1,,Ranchi (IND),11 OCT 2019,1021
4473,10.56,+0.7,Nair B. ABHIJITH,02 OCT 1996,IND,2sf2,,Ranchi (IND),11 OCT 2019,1021
4473,10.56,+0.2,Wei-Hsu WANG,12 OCT 1996,TPE,2,,Taoyuan (TPE),21 OCT 2019,1021
4473,10.56,+1.2,Tai-Sheng WEI,20 AUG 2000,TPE,1sf1,,Taoyuan (TPE),21 OCT 2019,1021
4680,10.57,+1.5,Michael ROMANIN,24 DEC 1996,AUS,3f4,,Melbourne (AUS),18 JAN 2019,1018
4680,10.57,+1.2,Hujaye CORNWALL,01 MAY 1997,JAM,1f1,,Kingston (JAM),02 FEB 2019,1018
4680,10.57,+1.4,B.D.Chanuka SANDEEPA,1999,SRI,1h6,,Colombo (SRI),22 FEB 2019,1018
4680,10.57,+2.0,Shehan ABEYPITIYA,17 JAN 1990,SRI,2sf2,,Colombo (SRI),22 FEB 2019,1018
4680,10.57,+2.0,Keenan MICHAU,17 JAN 1995,RSA,3f7,,Pretoria (RSA),23 FEB 2019,1018
4680,10.57,+0.6,Rusheen MCDONALD,17 AUG 1992,JAM,3f1,,Kingston (JAM),02 MAR 2019,1018
4680,10.57,-1.3,Brendon RODNEY,09 APR 1992,CAN,3f2,,Kingston (JAM),02 MAR 2019,1025
4680,10.57,+1.7,Mark GAINES,19 AUG 2000,RSA,1,,Pretoria (RSA),02 MAR 2019,1018
4680,10.57,+1.2,Yan C. HERNÁNDEZ,20 JUN 2000,CUB,1ce,,La Habana (CUB),08 MAR 2019,1018
4680,10.57,+0.8,Abdel KALIL,12 JUN 1997,VEN,1h1,,Barquisimeto (VEN),08 MAR 2019,1018
4680,10.57,+1.7,Matthew BROWN,1998,JAM,1h5,,"Houston, TX (USA)",15 MAR 2019,1018
4680,10.57,-1.3,Germaine BROWN,04 JUL 1991,JAM,3f7,,Spanish Town (JAM),16 MAR 2019,1025
4680,10.57,+1.0,Ackeem BLAKE,21 JAN 2002,JAM,1f10,,Spanish Town (JAM),16 MAR 2019,1018
4680,10.57,-0.3,Earvin DA SILVA,03 JUL 1999,USA,2f1,,"Los Angeles, CA (USA)",16 MAR 2019,1019
4680,10.57,+1.1,Sifiso MIYA,01 JUN 2001,RSA,2h3,,Pretoria (RSA),16 MAR 2019,1018
4680,10.57,+1.4,H.A.S. SAMPATH KUMARA,,SRI,2,,Colombo (SRI),22 MAR 2019,1018
4680,10.57,+1.2,Jordan RENDER,03 AUG 1995,AUS,2f3,,Brisbane (AUS),23 MAR 2019,1018
4680,10.57,+0.6,Marcus REAVES,1996,USA,3,,"Tempe, AZ (USA)",23 MAR 2019,1018
4680,10.57,+1.6,Lavonte VALENTINE,1999,USA,3,,"Charleston, SC (USA)",23 MAR 2019,1018
4680,10.57,+2.0,Mark GAINES,19 AUG 2000,RSA,1,,Durban (RSA),23 MAR 2019,1018
4680,10.57,+2.0,Valentine MASEKO,14 FEB 1997,RSA,1h1,,Durban (RSA),23 MAR 2019,1018
4680,10.57,+0.6,Michali EVERETT,27 JAN 2001,JAM,1h3,,Kingston (JAM),28 MAR 2019,1018
4680,10.57,+0.9,Demarcus FLEMING,21 DEC 2001,USA,2h9,,"Gainesville, FL (USA)",28 MAR 2019,1018
4680,10.57,+0.7,Terrique STENNETT,03 JAN 2003,JAM,3,,Kingston (JAM),29 MAR 2019,1018
4680,10.57,+1.4,Tahir WALSH,24 FEB 1994,ANT,3f2,,"Gainesville, FL (USA)",29 MAR 2019,1018
4680,10.57,+1.7,Myles WEBB,,USA,2f1,,"Westwood, CA (USA)",30 MAR 2019,1018
4680,10.57,-0.5,Mike KOIKE,28 OCT 1997,JPN,2h2,,Hachioji (JPN),30 MAR 2019,1021
4680,10.57,+1.9,Tomas NEWMAN,,USA,1h3,,"Bridgewater, VA (USA)",30 MAR 2019,1018
4680,10.57,+1.7,Michali EVERETT,27 JAN 2001,JAM,1h3,,Kingston (JAM),05 APR 2019,1018
4680,10.57,+0.8,Dantago GURIRAB,09 MAR 1990,NAM,1,,"Independence Stadium, Windhoek (NAM)",05 APR 2019,1018
4680,10.57,-1.2,Yu SANO,12 OCT 1998,JPN,1h3,,Osaka (JPN),05 APR 2019,1025
4680,10.57,+1.6,Jared HAYES,19 JAN 1999,USA,1f2,,"Auburn, AL (USA)",06 APR 2019,1018
4680,10.57,+2.0,Josh LEWIS,,USA,1f5,,"Wichita, KS (USA)",06 APR 2019,1018
4680,10.57,-2.2,Brandon JAMES,1999,USA,2,,"Towson, MD (USA)",06 APR 2019,1031
4680,10.57,-2.0,Takumi MASUDA,11 FEB 1997,JPN,1,,Odawara (JPN),06 APR 2019,1030
4680,10.57,-0.8,Ze GAO,20 OCT 1994,CHN,1h6,,Zhaoqing (CHN),07 APR 2019,1022
4680,10.57,+0.2,Umut UYSAL,04 MAR 2002,TUR,1f3,,Mersin (TUR),09 APR 2019,1018
4680,10.57,+1.3,Nutthapong VEERAVONGRATANASIRI,03 FEB 1997,THA,1f5,,"Coral Gables, FL (USA)",13 APR 2019,1018
4680,10.57,+1.2,Mikel THOMAS,23 NOV 1987,TTO,7f2,,"Columbia, SC (USA)",13 APR 2019,1018
4680,10.57,+0.8,Quincy RILEY,,USA,2f2,,"Columbia, SC (USA)",13 APR 2019,1018
4680,10.57,+1.4,P.J. LOTHARP,,USA,3,,"Hickory, NC (USA)",20 APR 2019,1018
4680,10.57,+0.5,Roland DODOO,1995,CAN,4f1,,"Baton Rouge, LA (USA)",20 APR 2019,1018
4680,10.57,+1.4,Andrew BISHOP,,USA,4f2,,"Auburn, AL (USA)",20 APR 2019,1018
4680,10.57,+1.1,Gabriel WALKER,,USA,6f1,,"Canyon, TX (USA)",20 APR 2019,1018
4680,10.57,+0.5,Eric CRAY,06 NOV 1988,PHI,5h4,,Doha (QAT),21 APR 2019,1018
4680,10.57,-0.1,Sabela SAMKELO,04 APR 1995,RSA,2h2,,Germiston (RSA),25 APR 2019,1018
4680,10.57,-1.9,Cheswill JOHNSON,30 SEP 1997,RSA,1h4,,Germiston (RSA),25 APR 2019,1029
4680,10.57,+1.1,Obakeng BALOI,07 MAR 1998,RSA,7sf2,,Germiston (RSA),25 APR 2019,1018
4680,10.57,+0.5,Jordan LUCAS,,USA,3f2,,"Fayetteville, AR (USA)",26 APR 2019,1018
4680,10.57,+0.3,Devonte FLETCHER,,USA,1f1,,"Montreat, NC (USA)",26 APR 2019,1018
4680,10.57,+1.8,Alonso EDWARD,08 DEC 1989,PAN,7f2,,"Gainesville, FL (USA)",27 APR 2019,1018
4680,10.57,-1.3,D'Angelo CHERRY,01 AUG 1990,USA,6f3,,"Gainesville, FL (USA)",27 APR 2019,1025
4680,10.57,+1.8,Kenkichi SHIRAKI,08 MAY 1985,JPN,4sr1,,Hiroshima (JPN),27 APR 2019,1018
4680,10.57,-0.4,Takuya NAGATA,14 JUN 1994,JPN,3h2,,Hiroshima (JPN),28 APR 2019,1020
4680,10.57,+2.0,Yuki TAKESHITA,27 DEC 1992,JPN,8h3,,Hiroshima (JPN),28 APR 2019,1018
4680,10.57,+1.4,Yen-Ming WU,10 DEC 1999,TPE,2h1,,Chiayi (TPE),29 APR 2019,1018
4680,10.57,-0.2,Rico ADITH,2001,INA,1,,Bangka Belitung (INA),30 APR 2019,1019
4680,10.57,+1.5,Samuel ADAMS,1998,CAN,5,,"Lynchburg, VA (USA)",01 MAY 2019,1018
4680,10.57,+0.9,Devin PRINGLE,,USA,1f1,,"Rock Hill, SC (USA)",01 MAY 2019,1018
4680,10.57,+1.2,Kyu-hyong LEE,02 APR 1997,KOR,1h2,,Chungju (KOR),02 MAY 2019,1018
4680,10.57,+1.4,Thaddeus SMITH,,USA,2f1,,"Fullerton, CA (USA)",03 MAY 2019,1018
4680,10.57,+2.0,Andel MILLER,21 DEC 1997,JAM,5f1,,"Lubbock, TX (USA)",04 MAY 2019,1018
4680,10.57,+0.1,Davon CARROLL,,USA,1h1,,"Bowie, MD (USA)",04 MAY 2019,1018
4680,10.57,+0.9,Javonte' HARDING,,USA,1,,"Charlottesville, VA (USA)",04 MAY 2019,1018
4680,10.57,-0.1,Jonathan NYEPA,26 MAR 1996,MAS,6f2,,"Clermont, FL (USA)",05 MAY 2019,1018
4680,10.57,+0.4,Kyle PLEBAN,1995,USA,2f3,,"Clermont, FL (USA)",05 MAY 2019,1018
4680,10.57,+1.8,Pierre VINCENT,20 FEB 1992,FRA,1f1,,Cergy-Pontoise (FRA),05 MAY 2019,1018
4680,10.57,0.0,Alan GUSMÃO,31 OCT 1995,BRA,2,,Sao Paulo (BRA),05 MAY 2019,1018
4680,10.57,+0.5,Takumi MASUDA,11 FEB 1997,JPN,5f1,,Mito (JPN),05 MAY 2019,1018
4680,10.57,+0.6,Sam ZENNER,,USA,2,,"Macomb, IL (USA)",10 MAY 2019,1018
4680,10.57,-0.1,Yuta KAWANISHI,22 DEC 1997,JPN,4sf2,,Kyoto (JPN),10 MAY 2019,1018
4680,10.57,0.0,Christopher NTREH,26 MAY 1997,USA,4h1,,"Norman, OK (USA)",11 MAY 2019,1018
4680,10.57,+1.0,Andrei Alexandru ZLATAN,25 AUG 1998,ITA,2f1,,Modena (ITA),11 MAY 2019,1018
4680,10.57,+0.3,Diab DAVIS,07 SEP 1998,USA,4h2,,"Tucson, AZ (USA)",11 MAY 2019,1018
4680,10.57,+0.7,Chedlin SAGESSE,,USA,1h1,,"Charlotte, NC (USA)",11 MAY 2019,1018
4680,10.57,+0.7,Darien PORTER,1998,USA,1h1,,"Charlotte, NC (USA)",11 MAY 2019,1018
4680,10.57,+2.0,Jamal PALMER,,USA,4,,"Riverside, CA (USA)",11 MAY 2019,1018
4680,10.57,0.0,Charles JACKSON,,USA,1f1,,"Houston, TX (USA)",16 MAY 2019,1018
4680,10.57,+1.7,Lionel Tshimanga MUTEBA,1990,CAN,1h5,,Windsor (CAN),18 MAY 2019,1018
4680,10.57,+1.6,Milo SKUPIN-ALFA,07 FEB 1999,GER,1h3,,Pforzheim (GER),19 MAY 2019,1018
4680,10.57,-1.4,Philipp TRUTENAT,06 DEC 1997,GER,1f5,,"Eugen-Reintjes-Stadion, Emmerich am Rhein (GER)",19 MAY 2019,1026
4680,10.57,+1.2,Mason ROLLINS,,USA,6h2,,"Sacramento, CA (USA)",23 MAY 2019,1018
4680,10.57,+0.8,Keion SUTTON,,USA,7h6,,"Sacramento, CA (USA)",23 MAY 2019,1018
4680,10.57,+1.0,Adrian BRZEZIŃSKI,24 AUG 1998,POL,3f1,,Łódź (POL),25 MAY 2019,1018
4680,10.57,-0.1,Antonio RODRÍGUES,12 JAN 1993,BRA,3h1,,Sao Bernardo do Campo (BRA),25 MAY 2019,1018
4680,10.57,+1.1,Jean-Yann DE GRACE,19 MAY 1995,MRI,1,,Bourg-en-Bresse (FRA),26 MAY 2019,1018
4680,10.57,+1.6,Riak REESE,23 NOV 1994,USA,1h1,,"Chula Vista, CA (USA)",26 MAY 2019,1018
4680,10.57,+0.7,Andrea FEDERICI,24 FEB 1997,ITA,3h1,,Savona (ITA),29 MAY 2019,1018
4680,10.57,+0.4,Lorenzo PAISSAN,24 NOV 2000,ITA,2h4,,Savona (ITA),29 MAY 2019,1018
4680,10.57,-0.6,Ze GAO,20 OCT 1994,CHN,5,,Luoyang (CHN),29 MAY 2019,1021
4680,10.57,+0.6,Arnaldo L. ROMERO,05 APR 2000,CUB,3h1,,La Habana (CUB),31 MAY 2019,1018
4680,10.57,+1.3,Joe FERGUSON,03 MAY 2000,GBR,1,,Manchester (GBR),01 JUN 2019,1018
4680,10.57,-0.6,Guy-Elphege ANOUMAN,13 JUN 1994,FRA,1f2,,Montgeron (FRA),01 JUN 2019,1021
4680,10.57,+1.0,Zanson PLUMMER,27 MAR 1997,GBR,1h5,,Bedford (GBR),01 JUN 2019,1018
4680,10.57,+0.2,Karol KWIATKOWSKI,20 AUG 1996,POL,5f1,,Gliwice (POL),02 JUN 2019,1018
4680,10.57,+0.4,Oliwer WDOWIK,03 JAN 2002,POL,3f2,,Gliwice (POL),02 JUN 2019,1018
4680,10.57,+1.7,Ryuya OKADA,25 NOV 1999,JPN,7h3,,Tottori (JPN),02 JUN 2019,1018
4680,10.57,+0.7,Henrik LARSSON,30 SEP 1999,SWE,1,,Huddinge (SWE),02 JUN 2019,1018
4680,10.57,+2.0,Takuya NAGATA,14 JUN 1994,JPN,6,,Chongqing (CHN),07 JUN 2019,1018
4680,10.57,+0.3,Andrea FEDERICI,24 FEB 1997,ITA,3,,Rieti (ITA),07 JUN 2019,1018
4680,10.57,-0.3,Petre Nicolae REZMIVES,11 SEP 1997,ROU,3h2,,Cluj-Napoca (ROU),07 JUN 2019,1019
4680,10.57,+0.6,Jordan WATSON-BROWN,1998,GBR,1h2,,Budapest (HUN),08 JUN 2019,1018
4680,10.57,-0.3,Trayvon BROMELL,10 JUL 1995,USA,8f3,,Kingston (JAM),08 JUN 2019,1019
4680,10.57,+0.3,Charles OKEZE,,NGR,1h9,,"Montverde, FL (USA)",08 JUN 2019,1018
4680,10.57,+0.2,Kion BENJAMIN,13 NOV 2000,TTO,1f2,,Port-of-Spain (TTO),08 JUN 2019,1018
4680,10.57,-0.1,Yoshiki MINAMIYAMA,15 APR 1998,JPN,6,,Hiratsuka (JPN),08 JUN 2019,1018
4680,10.57,+1.0,Leon REID,26 JUL 1994,IRL,3f1,,Hendon (GBR),09 JUN 2019,1018
4680,10.57,+1.0,Jeremiah AZU,15 MAY 2001,GBR,4f1,,Hendon (GBR),09 JUN 2019,1018
4680,10.57,+1.0,Imran RAHMAN,05 JUL 1993,GBR,5f1,,Hendon (GBR),09 JUN 2019,1018
4680,10.57,+0.9,Ryan ZEZE,29 JAN 1998,FRA,1h1,,Cergy-Pontoise (FRA),10 JUN 2019,1018
4680,10.57,-0.1,Jeremy LEROUX,10 SEP 1994,FRA,2h5,,Cergy-Pontoise (FRA),10 JUN 2019,1018
4680,10.57,+1.4,Chidamba HAZEMBA,18 AUG 1997,ZAM,2h8,,Tilburg (NED),10 JUN 2019,1018
4680,10.57,+1.1,Daniel HOFFMANN,06 MAR 1995,GER,1f1,,Siegburg (GER),10 JUN 2019,1018
4680,10.57,-0.3,Daniel HOFFMANN,06 MAR 1995,GER,6h1,,Dessau (GER),14 JUN 2019,1019
4680,10.57,+0.2,Jekovan RHETTA,2003,USA,7,,"Greensboro, NC (USA)",15 JUN 2019,1018
4680,10.57,+1.8,Joel DOS SANTOS,29 SEP 2000,ARG,2h1,,Cali (COL),15 JUN 2019,1018
4680,10.57,+0.7,Kevon STONE,12 FEB 2000,JAM,2f3,,Kingston (JAM),15 JUN 2019,1018
4680,10.57,-1.6,Andrea FEDERICI,24 FEB 1997,ITA,2f2,,Firenze (ITA),15 JUN 2019,1027
4680,10.57,-1.0,Samuel OSEWA,17 APR 1991,GBR,5,,Copenhagen (DEN),18 JUN 2019,1024
4680,10.57,-1.0,Ben BASSAW,09 JUL 1989,FRA,2f1,,Sarcelles (FRA),18 JUN 2019,1024
4680,10.57,+0.9,Shacquille LOWE,16 APR 2001,JAM,2h4,,Kingston (JAM),20 JUN 2019,1018
4680,10.57,+1.2,Darian CLARKE,05 MAR 2002,BAR,2h2,,St. Michael (BAR),21 JUN 2019,1018
4680,10.57,-0.1,Maurice SIMPSON,1997,USA,3h4,,"Decatur, IL (USA)",21 JUN 2019,1018
4680,10.57,+0.2,Roger GURSKI,11 JUL 1997,GER,1f1,,Koblenz (GER),22 JUN 2019,1018
4680,10.57,0.0,Jeffrey VANAN,21 DEC 1992,SUR,2,,Lokeren (BEL),23 JUN 2019,1018
4680,10.57,-1.3,Przemysław SŁOWIKOWSKI,20 NOV 1993,POL,3,,Sopot (POL),23 JUN 2019,1025
4680,10.57,+0.3,Tijani KEITA,09 MAR 1996,GAM,1h1,,Cáceres (ESP),26 JUN 2019,1018
4680,10.57,-0.4,Kazuma OSETO,05 AUG 1994,JPN,4h3,,Fukuoka (JPN),27 JUN 2019,1020
4680,10.57,+0.5,Vasyl MAKUKH,14 JAN 2000,UKR,1,,Lutsk (UKR),28 JUN 2019,1018
4680,10.57,+1.4,Tobias LANGE,29 DEC 1993,GER,1f1,,"Walter Mundorf Stadion, Siegburg (GER)",28 JUN 2019,1018
4680,10.57,+0.7,Dylan VERMONT,24 AUG 1999,FRA,6sf2,,Chateauroux (FRA),29 JUN 2019,1018
4680,10.57,+1.8,Moritz ISOLA,2000,GER,2h3,,Mannheim (GER),29 JUN 2019,1018
4680,10.57,+1.8,Luis VIEWEG,2000,GER,3h3,,Mannheim (GER),29 JUN 2019,1018
4680,10.57,+0.3,Jeffrey VANAN,21 DEC 1992,SUR,1,,Eindhoven (NED),29 JUN 2019,1018
4680,10.57,+0.7,Gaylord KUBA DI VITA,17 NOV 1995,BEL,7h2,,La Chaux-de-Fonds (SUI),30 JUN 2019,1018
4680,10.57,+1.5,Samuel PUROLA,19 MAY 2000,FIN,1h1,,Jämsä (FIN),30 JUN 2019,1018
4680,10.57,+1.5,Viljami KAASALAINEN,15 OCT 1995,FIN,2h1,,Jämsä (FIN),30 JUN 2019,1018
4680,10.57,-0.8,Jeremy LEROUX,10 SEP 1994,FRA,8h1,,Marseille (FRA),02 JUL 2019,1022
4680,10.57,+0.3,Aşkın Sadi AŞKIN,19 MAY 2000,TUR,2,,Cluj-Napoca (ROU),02 JUL 2019,1018
4680,10.57,0.0,Everton CLARKE,24 DEC 1992,JAM,2f2,,Lee Valley (GBR),03 JUL 2019,1018
4680,10.57,+1.1,Jaleel CROAL,2003,IVB,3h2,,Queretaro (MEX),05 JUL 2019,1018
4680,10.57,+1.0,Keene Charles MOTUKISI,01 JAN 1991,BOT,2h1,,Réduit (MRI),05 JUL 2019,1018
4680,10.57,+1.0,Tatenda TSUMBA,12 NOV 1991,ZIM,3h1,,Réduit (MRI),05 JUL 2019,1018
4680,10.57,-0.3,Kyle DE ESCOFET,04 OCT 1996,GBR,2f1,,Sheffield (GBR),06 JUL 2019,1019
4680,10.57,+0.9,Travis COLLINS,28 MAY 1996,USA,6,,Georgetown (GUY),06 JUL 2019,1018
4680,10.57,+0.9,Rupert Andel PERRY,17 DEC 1989,GUY,7,,Georgetown (GUY),06 JUL 2019,1018
4680,10.57,-0.2,Hengnan JIANG,06 OCT 1995,CHN,4h6,,Napoli (ITA),08 JUL 2019,1019
4680,10.57,+0.4,Jiapeng CHEN,05 JUL 2002,CHN,6,,Shenyang (CHN),08 JUL 2019,1018
4680,10.57,+1.2,Oliwer WDOWIK,03 JAN 2002,POL,1f1,,Poznan (POL),10 JUL 2019,1018
4680,10.57,-1.9,Marvin SCHULTE,19 FEB 1999,GER,1h2,,Gävle (SWE),11 JUL 2019,1029
4680,10.57,+0.4,Marvin RENÉ,11 APR 1995,FRA,1h4,,Bron (FRA),11 JUL 2019,1018
4680,10.57,+1.7,Pavel MASLÁK,21 FEB 1991,CZE,5f1,,Kladno (CZE),13 JUL 2019,1018
4680,10.57,+1.7,Bandit CHUANGCHAI,22 JUL 1993,THA,6f1,,Kladno (CZE),13 JUL 2019,1018
4680,10.57,+1.2,Otto AHLFORS,29 JAN 1994,FIN,4,,Lapinlahti (FIN),17 JUL 2019,1018
4680,10.57,+2.0,Jonathan BROWNE,15 MAR 1983,GBR,4sr2,,Lee Valley (GBR),17 JUL 2019,1018
4680,10.57,+2.0,Marvin POPOOLA,05 SEP 1995,GBR,5sr2,,Lee Valley (GBR),17 JUL 2019,1018
4680,10.57,-0.6,Mohd Haiqal HANAFI,29 APR 1999,MAS,1h5,,Ho Chi-Minh (VIE),17 JUL 2019,1021
4680,10.57,-0.3,Simon LEE,09 JAN 2001,KOR,1,,Jeongseon (KOR),18 JUL 2019,1019
4680,10.57,0.0,Simon WULFF,01 JAN 2001,GER,5,,Boras (SWE),19 JUL 2019,1018
4680,10.57,-0.8,Anaso JOBODWANA,30 JUL 1992,RSA,2h1,,Rhede (GER),20 JUL 2019,1022
4680,10.57,+0.4,Andre COSTA,09 MAY 1992,POR,3h2,,Lisboa (POR),20 JUL 2019,1018
4680,10.57,+1.0,Aleksey USOV,24 FEB 1998,RUS,1h2,,Cheboksary (RUS),24 JUL 2019,1018
4680,10.57,0.0,Seye OGUNLEWE,30 AUG 1991,NGR,1h7,,Kaduna (NGR),25 JUL 2019,1018
4680,10.57,+0.1,Sam EFFAH,29 DEC 1988,CAN,8,,Montreal (CAN),26 JUL 2019,1018
4680,10.57,+1.9,Jeremy BASCOM,15 OCT 1983,GUY,sf1,,Port-of-Spain (TTO),27 JUL 2019,1018
4680,10.57,+1.1,Ioan Andrei MELNICESCU,22 JUN 1996,ROU,1h2,,Pitesti (ROU),30 JUL 2019,1018
4680,10.57,+0.4,Jahde WILLIAMS,14 JAN 1997,GBR,1f2,,Lee Valley (GBR),31 JUL 2019,1018
4680,10.57,+1.3,Shota FUNAKOSHI,24 AUG 1998,JPN,5f3,,Hachioji (JPN),02 AUG 2019,1018
4680,10.57,-2.6,Noureddine HADID,28 JAN 1993,LBN,1,,Beirut (LBN),02 AUG 2019,1033
4680,10.57,-1.3,Aleksandar ASKOVIC,23 OCT 1997,GER,3h1,,Berlin (GER),03 AUG 2019,1025
4680,10.57,+1.3,Jeffrey VANAN,21 DEC 1992,SUR,3h2,,Ninove (BEL),03 AUG 2019,1018
4680,10.57,0.0,Jahde WILLIAMS,14 JAN 1997,GBR,3f1,,Birmingham (GBR),03 AUG 2019,1018
4680,10.57,+0.2,Aykut AY,03 AUG 1995,TUR,1h2,,Bursa (TUR),03 AUG 2019,1018
4680,10.57,+1.0,Jonathan BROWNE,15 MAR 1983,GBR,7sr2,,Loughborough (GBR),06 AUG 2019,1018
4680,10.57,-1.4,Harry AIKINES-ARYEETEY,29 AUG 1988,GBR,4,,Bydgoszcz (POL),10 AUG 2019,1026
4680,10.57,+1.2,Sergio LÓPEZ,05 JUL 1999,ESP,3,,Granada (ESP),10 AUG 2019,1018
4680,10.57,+1.2,Kaie CHAMBERS-BROWN,26 SEP 1999,GBR,3,,Manchester (GBR),14 AUG 2019,1018
4680,10.57,+1.2,Joel PASCALL-MENZIE,,GBR,4,,Manchester (GBR),14 AUG 2019,1018
4680,10.57,+1.4,Jona EFOLOKO,23 SEP 1999,GBR,4f1,,Lee Valley (GBR),14 AUG 2019,1018
4680,10.57,-0.6,Zdeněk STROMŠÍK,25 NOV 1994,CZE,2,,Ustí Nad Orlicí (CZE),17 AUG 2019,1021
4680,10.57,-1.6,Markus FUCHS,14 NOV 1995,AUT,2f1,,Schifflange (LUX),18 AUG 2019,1027
4680,10.57,-3.4,Demek KEMP,26 APR 1996,USA,1h1,,Dublin (IRL),21 AUG 2019,1038
4680,10.57,+1.9,Erik KOSTRYTSYA,18 SEP 1999,UKR,3,,Lutsk (UKR),21 AUG 2019,1018
